,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Gambela,100,ET,1562780926,76,8.25,34.59,21.25,2.52
375,Nyurba,81,RU,1562780926,55,63.29,118.35,19.45,1.55
376,Raudeberg,20,NO,1562780926,72,61.99,5.14,20.0,6.7
377,Kurtalan,0,TR,1562780927,33,37.93,41.7,31.11,1.5
378,Ojinaga,1,US,1562780927,29,29.56,-104.41,33.0,3.6
379,Provideniya,0,RU,1562780927,37,64.42,-173.23,20.15,1.62
380,Oeiras,35,BR,1562780928,39,-7.01,-42.13,31.35,4.96
381,Coracora,0,PE,1562780928,27,-15.02,-73.78,16.05,4.79
382,Bosaso,14,SO,1562780928,70,11.28,49.18,31.55,0.94
383,Toda Raisingh,73,IN,1562780929,52,26.03,75.48,31.95,5.84
384,Ketchikan,20,US,1562780762,82,55.34,-131.65,17.0,6.7
385,Homer,90,US,1562780728,93,59.64,-151.54,13.89,2.6
386,Psebay,93,RU,1562780930,95,44.12,40.81,11.25,2.02
387,Brae,75,GB,1562780930,93,60.4,-1.35,13.0,9.3
388,Arti,54,RU,1562780931,96,56.43,58.53,15.55,2.63
389,Siverek,0,TR,1562780931,15,37.75,39.32,31.0,2.1
390,Mitu,0,IR,1562780931,45,36.2,46.09,19.25,1.83
391,El Alto,20,BO,1562780848,5,-16.5,-68.19,14.0,4.6
392,Lazaro Cardenas,75,MX,1562780932,32,28.39,-105.62,31.67,3.1
393,Eureka,75,US,1562780932,82,40.8,-124.16,22.22,4.74
394,Pimentel,5,BR,1562780932,53,-3.7,-45.5,30.65,2.72
395,Baijiantan,84,CN,1562780933,41,45.63,85.18,22.55,8.44
396,Bismil,0,TR,1562780933,18,37.85,40.66,33.0,4.6
397,Ancud,40,CL,1562780933,76,-41.87,-73.83,11.0,7.7
398,Lages,95,BR,1562780934,99,-27.82,-50.33,20.0,0.89
399,Santa Isabel do Rio Negro,38,BR,1562780698,87,-0.41,-65.02,27.25,1.5
400,Igarka,24,RU,1562780934,70,67.47,86.57,9.15,3.28
401,Brewster,1,US,1562780729,40,41.76,-70.08,32.22,4.1
402,Muros,0,ES,1562780935,51,42.77,-9.06,30.0,4.1
403,Tanout,27,NE,1562780935,27,14.97,8.88,36.05,4.54
404,Fermoy,75,IE,1562780936,87,52.14,-8.28,16.0,5.1
405,Constanta,90,RO,1562780660,77,44.18,28.65,19.0,7.2
406,Ginda,34,IN,1562780936,91,30.69,78.49,17.55,1.65
407,Hirara,37,JP,1562780937,85,24.8,125.28,29.15,10.13
408,Ziro,100,IN,1562780937,100,27.54,93.82,15.95,0.71
409,San Juan Bautista,98,PY,1562780937,49,-26.67,-57.15,26.15,3.87
410,Lykhivka,88,UA,1562780938,70,48.69,33.92,17.55,4.23
411,Kieta,100,PG,1562780938,70,-6.22,155.63,25.05,2.71
412,Tinqueux,0,FR,1562780939,31,49.25,3.99,26.11,1.5
413,Pawai,100,IN,1562780939,88,24.27,80.17,25.85,2.99
414,Yenagoa,100,NG,1562780939,94,4.92,6.26,23.75,0.9
415,Vestmannaeyjar,90,IS,1562780940,93,63.44,-20.27,10.0,11.3
416,Vardo,40,US,1562780940,55,39.62,-77.74,31.67,3.1
417,Coquimbo,0,CL,1562780941,71,-29.95,-71.34,17.78,4.6
418,Palauig,44,PH,1562780941,76,15.44,119.9,28.95,5.07
419,Turukhansk,17,RU,1562780941,68,65.8,87.96,10.25,4.52
420,Blagoyevo,100,RU,1562780942,96,63.37,47.92,7.35,4.87
421,Bandar-e Lengeh,0,IR,1562780942,71,26.56,54.88,34.0,4.1
422,Kaseda,100,JP,1562780942,100,31.42,130.32,26.11,1.79
423,Sakaiminato,75,JP,1562780943,88,35.55,133.23,22.0,3.6
424,Grindavik,90,IS,1562780943,76,63.84,-22.43,12.0,1.5
425,Griffith,90,AU,1562780944,71,-34.29,146.06,11.0,7.7
426,Myitkyina,100,MM,1562780944,99,25.38,97.4,21.75,0.52
427,Miyako,75,JP,1562780945,88,33.63,130.94,26.67,9.8
428,Chicama,20,PE,1562780945,77,-7.84,-79.15,20.0,5.1
429,Fort Nelson,20,CA,1562780945,62,58.81,-122.69,15.0,2.1
430,Kaili,96,ID,1562780946,95,-3.46,120.21,14.95,1.71
431,Evreux,0,FR,1562780946,36,49.02,1.15,27.22,2.6
432,North Las Vegas,1,US,1562780946,10,36.2,-115.11,37.22,3.53
433,Hualmay,77,PE,1562780947,81,-11.1,-77.61,17.15,3.04
434,West Fargo,90,US,1562780947,88,46.88,-96.9,21.0,8.7
435,Saint-Joseph,0,FR,1562780947,58,43.56,6.97,31.0,4.1
436,San Borja,0,BO,1562780948,46,-14.86,-66.75,30.25,1.99
437,Ambulu,56,ID,1562780948,84,-8.35,113.61,23.85,5.25
438,Taoudenni,65,ML,1562780948,13,22.68,-3.98,42.25,3.68
439,Nhulunbuy,75,AU,1562780948,94,-12.18,136.78,21.0,2.1
440,Keflavik,90,IS,1562780949,76,64.0,-22.56,12.0,1.5
441,Soe,63,EE,1562780949,72,57.91,26.05,16.0,3.6
442,Pombas,0,BR,1562780949,23,-15.9,-54.74,33.25,0.58
443,Acapulco,40,MX,1562780950,74,16.86,-99.88,30.0,2.1
444,Namibe,100,AO,1562780951,85,-15.19,12.15,19.45,1.98
445,Nadym,29,RU,1562780951,53,65.53,72.51,14.25,5.47
446,Kisangani,100,CD,1562780952,90,0.52,25.21,22.45,0.61
447,Soyo,40,AO,1562780952,88,-6.13,12.37,25.0,3.1
448,Anadyr,0,RU,1562780952,59,64.73,177.51,17.0,1.0
449,Serebryanyy Bor,87,RU,1562780953,96,56.8,124.8,12.05,0.84
450,Antsohihy,79,MG,1562780953,80,-14.88,47.99,24.85,1.66
451,Ostuacan,43,MX,1562780953,60,17.42,-93.3,31.45,2.4
452,Tara,75,JP,1562780954,83,33.0,130.15,27.22,4.1
453,Bida,43,NG,1562780954,86,9.08,6.02,25.45,1.85
454,Sinop,92,TR,1562780955,85,42.03,35.15,21.05,3.33
455,Surt,0,LY,1562780955,63,31.21,16.59,28.95,6.69
456,San Carlos de Bariloche,75,AR,1562780696,87,-41.13,-71.31,6.0,2.1
457,Imeni Poliny Osipenko,100,RU,1562780956,96,52.42,136.49,17.95,0.86
458,Talnakh,40,RU,1562780865,70,69.49,88.39,9.0,5.0
459,Totolapa,75,MX,1562780956,62,20.56,-97.48,32.0,4.1
460,Ternate,20,PH,1562780957,79,14.29,120.72,29.44,3.1
461,Mutis,100,CO,1562780957,74,6.23,-77.4,27.35,3.21
462,Lorengau,100,PG,1562780958,82,-2.02,147.27,25.85,4.08
463,Iqaluit,75,CA,1562780958,66,63.75,-68.52,13.0,2.6
464,Daru,68,PG,1562780958,88,-9.07,143.21,21.75,2.55
465,Haines Junction,16,CA,1562780959,43,60.75,-137.51,19.25,0.22
466,Tessalit,36,ML,1562780913,16,20.2,1.01,38.45,4.23
467,Sao Geraldo do Araguaia,17,BR,1562780959,46,-6.4,-48.55,30.75,2.71
468,Uri,24,IN,1562780960,76,34.09,74.03,16.85,2.21
469,Mayya,75,RU,1562780960,93,61.74,130.28,19.0,2.0
470,Mananjary,0,MG,1562780960,49,-19.16,46.8,15.65,1.45
471,Samarai,100,PG,1562780961,85,-10.62,150.67,21.15,2.49
472,Arona,20,IT,1562780961,54,45.76,8.56,28.0,3.6
473,Porto Murtinho,0,BR,1562780961,27,-21.7,-57.88,31.95,3.45
474,Vao,59,EE,1562780962,72,59.1,26.19,14.65,2.81
475,Riberalta,40,BO,1562780962,49,-11.0,-66.08,32.0,4.1
476,Turayf,0,SA,1562780962,18,31.68,38.65,33.0,4.1
477,Fort Frances,40,CA,1562780963,83,48.61,-93.4,22.0,4.1
478,Ballymena,75,GB,1562780963,88,54.87,-6.28,20.0,4.6
479,Zhezkazgan,27,KZ,1562780963,20,47.8,67.71,26.35,4.45
480,Palmer,75,AU,1562780864,66,-34.85,139.16,13.0,8.2
481,Hofn,90,IS,1562780964,81,64.25,-15.21,10.0,5.1
482,Bulgan,60,MN,1562780964,84,48.81,103.53,13.85,0.12
483,Kitimat,90,CA,1562780964,88,54.02,-128.69,18.0,4.1
484,Revelstoke,90,CA,1562780965,100,50.99,-118.19,16.0,1.5
485,Cestas,0,FR,1562780965,27,44.74,-0.68,31.11,3.1
486,Buarcos,0,PT,1562780966,51,40.16,-8.88,32.22,6.7
487,Turbat,62,PK,1562780966,75,26.0,63.05,27.95,4.02
488,Shenjiamen,87,CN,1562780967,84,29.96,122.3,22.85,0.2
489,Lakatoro,35,VU,1562780967,78,-16.11,167.42,24.85,6.19
490,Takoradi,65,GH,1562780967,82,4.89,-1.75,24.55,3.57
491,Sayat,0,TM,1562780968,27,38.78,63.88,32.0,4.1
492,Rome,0,IT,1562780698,61,41.89,12.48,29.0,3.1
493,Ust-Omchug,96,RU,1562780968,79,61.13,149.63,12.45,1.53
494,Neiafu,75,TO,1562780725,94,-18.65,-173.98,24.0,3.1
495,Islamabad,14,PK,1562780780,74,33.69,73.06,31.11,2.6
496,Sharan,0,AF,1562780970,10,33.15,68.78,25.15,4.04
497,Chapais,75,CA,1562780970,53,49.78,-74.86,22.0,4.1
498,Esso,83,RU,1562780970,97,55.93,158.7,7.35,2.56
499,Jumla,100,NP,1562780971,95,29.28,82.18,14.15,1.0
500,Poum,90,MK,1562780971,88,41.28,20.71,17.0,1.5
501,Teguise,75,ES,1562780971,64,29.06,-13.56,24.0,8.2
502,Mutare,0,MZ,1562780972,56,-18.97,32.67,13.25,2.42
503,Jaunpur,90,IN,1562780972,94,25.75,82.69,26.0,3.6
504,Okhotsk,96,RU,1562780973,91,59.36,143.24,9.45,1.95
505,Zhoucun,78,CN,1562780973,75,35.48,112.62,20.15,1.46
506,Afua,100,NG,1562780973,95,5.27,7.87,21.75,1.64
507,Mehamn,0,NO,1562780974,87,71.03,27.85,8.0,1.5
508,Fairfield,1,US,1562780696,57,38.25,-122.04,25.0,1.5
509,Bowen,90,AU,1562780975,93,-20.01,148.25,19.0,1.39
510,Atasu,0,KZ,1562780975,43,48.68,71.64,19.75,5.38
511,Uyovu,76,TZ,1562780975,45,-3.28,31.53,23.65,1.33
512,Amethi,90,IN,1562780976,100,26.76,81.16,28.0,1.0
513,Trat,93,TH,1562780976,70,12.25,102.51,30.56,0.67
514,Binga,0,ZW,1562780976,33,-17.62,27.34,15.95,2.61
515,San Patricio,100,PY,1562780977,62,-26.98,-56.83,23.55,3.08
516,Srednekolymsk,36,RU,1562780977,40,67.46,153.71,21.25,2.69
517,Yeppoon,90,AU,1562780978,88,-23.13,150.74,18.0,0.17
518,Japura,62,ID,1562780978,95,-0.42,102.29,23.45,1.21
519,Bukachacha,37,RU,1562780978,54,52.99,116.91,16.45,1.13
520,Mangrol,89,IN,1562780978,63,25.33,76.51,30.55,6.74
521,Pocone,0,BR,1562780979,22,-16.26,-56.62,35.35,2.2
522,Yining,0,CN,1562780979,97,29.04,114.56,20.05,0.27
523,Pochutla,75,MX,1562780980,69,15.74,-96.47,28.0,7.7
524,Nenjiang,99,CN,1562780945,89,49.17,125.23,18.75,0.06
525,Abha,40,SA,1562780980,50,18.22,42.5,26.0,3.1
526,College,90,US,1562780980,67,64.86,-147.8,21.67,1.5
527,Marathon,90,CA,1562780981,93,48.72,-86.38,16.0,4.6
528,Rio Gallegos,75,AR,1562780981,93,-51.62,-69.22,3.0,3.6
529,San Juan,16,AR,1562780896,20,-31.54,-68.53,13.45,0.71
530,Karratha,98,AU,1562780982,26,-20.74,116.85,22.35,4.49
531,Ereymentau,0,KZ,1562780982,48,51.62,73.1,18.95,4.01
532,Limon,1,US,1562780983,33,39.26,-103.69,23.89,3.1
533,Cadillac,75,US,1562780708,55,44.25,-85.4,31.0,4.1
534,Huarmey,77,PE,1562780983,83,-10.07,-78.15,17.15,2.51
535,Ohringen,0,CH,1562780983,33,47.53,8.71,23.0,1.5
536,Hambantota,100,LK,1562780984,80,6.12,81.12,27.85,6.32
537,Mombetsu,75,JP,1562780984,80,44.35,143.35,12.78,0.45
538,Rudsar,75,IR,1562780985,74,37.14,50.29,26.0,1.0
539,Caohe,100,CN,1562780985,92,32.93,105.08,15.35,0.8
540,Moron,92,HT,1562780986,66,18.56,-74.26,29.85,2.76
